HostParty,CDM project reference number,Issuance process ID,Monitoring report started,Monitoring report ended
VN,4891,KBS_Cert1347275442.08,2011-06-11,2012-08-31
IN,1168,KBS_Cert1351664933.92,2012-01-07,2012-09-30
CN,2416,RINA1350294199.88,2011-01-01,2012-05-24
CN,907,RINA1353056446.66,2012-01-08,2012-11-15
CN,1569,SGS-UKL1349711955.37,2011-07-26,2012-07-25
IN,1550,SGS-UKL1350978330.45,2012-01-01,2012-09-30
CN,193,SGS-UKL1352718143.84,2012-01-10,2012-10-31
CN,549,SGS-UKL1354102090.03,2012-01-11,2012-11-25
MX,151,TUEV-RHEIN1331697243.39,2011-11-30,2012-02-29
CN,2207,TUEV-RHEIN1346743969.37,2011-07-26,2012-07-25
CN,2104,TUEV-RHEIN1347875838.82,2011-07-26,2012-08-25
CL,5393,TUEV-SUED1352883035.81,2012-01-07,2012-09-30
CN,1962,URSCert1347030133.53,2012-01-05,2012-08-31
CN,2142,URSCert1347067830.75,2012-01-06,2012-08-31
CN,2166,BVQI1348558101.02,2011-04-28,2012-08-27
BR,231,DNV-CUK1312526578.95,2010-05-28,2011-04-30
IN,1286,DNV-CUK1341822369.82,2011-01-08,2012-05-31
CN,3179,ERM-CVS1317373003.4,2010-02-12,2011-05-31
CN,1293,LRQA Ltd1343897103.66,2011-01-04,2012-06-30
CR,1314,RWTUV1351146398.18,2011-01-10,2012-09-30
IN,535,SGS-UKL1345627324.13,2012-01-01,2012-07-31
KR,3,SGS-UKL1353323535.7,2012-01-07,2012-10-31
ID,2662,TUEV-RHEIN1330415770.27,2011-01-04,2012-01-31
CN,1452,TUEV-RHEIN1347435290.79,2011-01-01,2012-07-31
CN,3787,TUEV-RHEIN1348222178.64,2011-01-10,2012-08-31
CN,868,TUEV-SUED1354683610.22,2012-01-11,2012-11-30
CN,3057,DNV-CUK1333622318.77,2011-01-15,2011-06-30
CN,1947,RWTUV1354516111.7,2012-01-11,2012-11-30
CN,1238,SGS-UKL1357663996.69,2012-01-11,2012-12-31
MY,2665,TUEV-RHEIN1322809433.94,2010-12-11,2011-10-31
CN,4768,TUEV-RHEIN1348821930.41,2012-01-04,2012-08-31
CL,248,RWTUV1347861492.91,2011-01-01,2011-08-31
CN,3443,SGS-UKL1343377489.51,2011-01-06,2012-05-31
CN,2157,Applus1347529512.85,2011-05-26,2012-08-25
CN,2044,BVQI1347433969.26,2009-01-10,2012-08-15
CN,4476,CEC1343891283.19,2011-01-12,2012-07-31
PK,1713,DNV-CUK1306502149.0,2009-10-29,2011-03-31
IN,332,DNV-CUK1342177785.73,2010-01-11,2012-03-31
IN,1824,DNV-CUK1348573907.26,2012-01-02,2012-07-31
CN,4138,ERM-CVS1340898783.98,2011-02-19,2012-05-31
CN,4328,ERM-CVS1345218331.02,2012-01-26,2012-07-25
AR,928,ICONTEC1347378991.22,2011-01-11,2012-07-31
CN,2592,JCI1349826084.09,2010-12-19,2012-06-16
CN,2616,JCI1349826855.89,2011-01-21,2012-07-20
IN,505,KBS_Cert1346127955.02,2011-01-04,2012-06-30
VN,2978,KBS_Cert1346842263.09,2010-01-09,2012-08-31
VN,4392,KEMCO1348728159.82,2011-03-16,2012-08-31
KR,2834,KFQ1345786399.3,2011-07-18,2012-08-18
BR,1133,LRQA Ltd1288001469.81,2008-01-09,2009-10-20
CN,3067,LRQA Ltd1347549347.64,2011-10-19,2012-08-31
CN,1228,LRQA Ltd1348829801.06,2012-03-29,2012-09-27
CN,4696,RINA1337892630.54,2011-04-26,2012-04-30
CN,3794,RINA1338404120.28,2010-04-12,2012-03-24
PH,1258,RINA1342517111.35,2011-01-10,2012-03-31
IN,1568,RWTUV1346838086.14,2010-01-04,2012-06-30
MX,3860,RWTUV1347191025.5,2011-02-02,2012-07-31
MX,728,RWTUV1350365896.85,2012-01-07,2012-09-30
CL,170,SGS-UKL1315559493.24,2010-02-24,2011-07-31
CN,5080,SGS-UKL1337607243.32,2011-11-25,2012-03-31
CN,842,SGS-UKL1343896078.53,2011-01-05,2012-04-30
CO,3995,SGS-UKL1344421428.03,2012-01-01,2012-07-31
CN,4777,SGS-UKL1345214558.97,2011-01-12,2012-06-30
CN,3678,SGS-UKL1347955368.09,2012-03-22,2012-08-21
CN,1865,SGS-UKL1349864907.99,2012-03-21,2012-09-20
CN,4935,SGS-UKL1352209732.53,2011-09-08,2012-10-30
CN,873,SGS-UKL1352366664.66,2012-06-30,2012-10-30
MY,1783,SIRIM1303462030.05,2010-01-07,2010-12-31
MY,1616,SIRIM1348215478.71,2011-01-10,2012-08-31
CN,2924,TUEV-RHEIN1288669135.25,2010-12-02,2010-10-31
PH,1620,TUEV-RHEIN1309237629.61,2010-02-26,2011-04-25
CN,2311,TUEV-RHEIN1320314166.59,2010-01-11,2011-10-31
IN,1003,TUEV-RHEIN1337676059.5,2011-01-04,2012-04-30
IN,674,TUEV-RHEIN1345707955.81,2010-01-01,2012-06-30
IN,4486,TUEV-RHEIN1350037789.46,2011-02-06,2012-06-15
TH,1519,TUEV-SUED1249377195.76,2008-10-05,2009-09-05
TH,1519,TUEV-SUED1292584213.84,2009-10-05,2010-09-05
CN,2314,TUEV-SUED1325672383.28,2009-09-26,2011-01-09
BR,168,TUEV-SUED1328535137.33,2009-01-11,2011-12-31
CN,1075,TUEV-SUED1340012222.1,2011-01-02,2011-12-31
CN,1075,TUEV-SUED1344239422.45,2012-01-01,2012-06-30
CN,868,TUEV-SUED1349426424.36,2012-01-09,2012-09-30
CN,868,TUEV-SUED1351856156.26,2012-01-10,2012-10-31
KR,1841,AENOR1347869288.09,2011-01-06,2012-05-31
CN,4096,BVQI1338545381.54,2011-02-07,2012-04-30
CN,2705,BVQI1348818465.31,2012-01-05,2012-08-31
CN,4038,China Quality1346041165.21,2011-03-05,2012-06-30
CN,2675,China Quality1353049573.08,2011-02-04,2012-01-07
IN,943,DNV-CUK1297157008.81,2009-01-01,2010-09-30
CN,3158,DNV-CUK1308053100.24,2010-07-05,2011-04-27
CN,6428,ERM-CVS1353357950.41,2012-06-15,2012-11-18
BR,116,ERM-CVS1353685663.56,2012-01-10,2012-11-18
ID,3019,LRQA Ltd1304599900.12,2010-02-06,2011-04-30
CN,3289,LRQA Ltd1342531207.78,2012-01-01,2012-06-30
CN,2205,LRQA Ltd1344422038.74,2012-01-03,2012-07-31
IN,3966,LRQA Ltd1346747604.84,2010-12-23,2012-07-31
CN,3524,LRQA Ltd1346937108.02,2012-01-07,2012-08-31
CN,1900,LRQA Ltd1347549849.43,2011-10-19,2012-08-31
CN,1686,LRQA Ltd1348829298.61,2012-02-27,2012-09-27
IN,1575,LRQA Ltd1352466183.86,2011-01-11,2012-10-31
IN,3554,PJR CDM1326793172.72,2010-01-04,2011-12-31
CN,4140,RINA1344336040.17,2011-09-02,2012-07-31
CN,4729,RINA1350643613.14,2011-09-26,2012-08-25
IN,3494,RWTUV1334593008.17,2010-07-15,2012-02-20
IN,2247,RWTUV1337632927.43,2010-01-11,2012-03-31
IN,1905,RWTUV1343336569.88,2009-01-10,2012-03-31
IN,1473,RWTUV1347009852.72,2011-01-10,2012-08-31
CN,3417,RWTUV1349075046.9,2011-06-25,2012-09-30
CN,1365,RWTUV1352107044.72,2011-01-08,2012-09-30
IN,1,RWTUV1352374070.33,2012-01-10,2012-10-31
CN,883,SGS-UKL1342533486.04,2011-01-11,2012-06-30
CN,1193,SGS-UKL1350473867.25,2010-01-08,2012-07-31
IN,1542,SGS-UKL1350656250.21,2012-01-01,2012-09-30
CN,4482,SGS-UKL1351869569.78,2012-01-09,2012-10-31
CN,2125,SGS-UKL1352290172.24,2012-01-05,2012-10-31
MY,2657,SIRIM1319015768.11,2011-01-02,2011-08-31
ID,2633,SIRIM1339762250.14,2011-01-10,2012-05-31
MY,247,TUEV-RHEIN1306911072.87,2010-01-01,2010-04-30
CN,3520,TUEV-RHEIN1346655405.6,2010-09-15,2012-08-31
CN,2136,TUEV-RHEIN1346743442.48,2012-03-26,2012-07-25
CN,2769,TUEV-SUED1352191714.95,2012-01-04,2012-10-31
KR,99,TUEV-SUED1352275018.48,2012-01-10,2012-10-31
KR,99,TUEV-SUED1354127022.53,2012-01-11,2012-11-23
CN,4047,BVQI1347604115.45,2012-02-25,2012-08-27
BR,911,ERM-CVS1349383105.89,2011-01-11,2012-09-23
CN,3695,RWTUV1348231710.98,2011-01-10,2012-08-24
CN,1926,TUEV-SUED1340790806.55,2011-01-08,2012-04-30
CN,2309,TUEV-SUED1345555658.01,2011-08-18,2012-07-03
CN,1135,TUEV-SUED1349942147.73,2012-02-25,2012-08-24
GT,172,AENOR1306947730.46,2010-01-06,2010-12-31
CN,3716,BVQI1335363738.7,2011-05-01,2011-12-31
BR,1784,BVQI1336734341.06,2010-12-14,2011-12-23
CN,3093,BVQI1338198867.59,2011-01-08,2012-04-30
CN,256,BVQI1340642947.44,2010-12-25,2011-12-24
CN,5314,BVQI1347603653.53,2012-01-01,2012-08-31
CN,5296,BVQI1347809851.78,2012-01-01,2012-08-31
CN,4978,BVQI1348122402.9,2011-04-10,2012-08-20
CN,2156,BVQI1348227527.38,2011-01-11,2012-08-31
CN,4789,BVQI1351318781.68,2012-03-25,2012-10-24
CN,2438,BVQI1351927247.41,2011-11-26,2012-10-25
CN,4123,BVQI1352175078.36,2012-09-24,2012-10-31
CN,5285,China Quality1349664977.47,2011-11-16,2012-08-31
BR,3464,DNV-CUK1319457163.54,2011-04-06,2011-09-30
IN,678,DNV-CUK1338545665.34,2011-01-02,2012-03-31
IN,936,DNV-CUK1346393763.75,2011-02-05,2012-01-07
KR,765,DNV-CUK1352300930.48,2012-10-15,2012-06-11
CN,887,ERM-CVS1331311972.46,2010-11-30,2012-01-31
CN,5289,ERM-CVS1340291484.18,2011-10-28,2012-05-27
CN,1658,ERM-CVS1340962591.97,2011-04-28,2012-06-27
CN,4610,Germanischer1342771557.48,2011-07-04,2012-06-30
EG,2742,Germanischer1344511663.04,2011-01-09,2012-06-30
CN,3306,Germanischer1347004711.19,2012-04-29,2012-08-29
BR,3455,ICONTEC1325180277.94,2011-01-02,2011-10-31
CN,2877,KFQ1341820034.44,2011-09-25,2012-06-30
CN,4133,KFQ1341820850.96,2011-01-09,2012-06-30
BR,1134,LRQA Ltd1286539919.0,2008-01-07,2009-08-27
CN,5349,LRQA Ltd1348481619.22,2011-10-21,2012-08-20
CN,5435,LRQA Ltd1348482022.79,2011-11-23,2012-08-20
IN,903,LRQA Ltd1351869780.33,2012-02-01,2012-10-31
HN,1483,RINA1278517290.41,2009-01-01,2009-11-30
CN,3662,RWTUV1310454551.22,2010-09-16,2011-06-30
CN,2702,RWTUV1346909270.78,2011-09-26,2012-08-25
CN,1432,RWTUV1347521003.73,2011-09-26,2012-08-25
CN,1599,RWTUV1350278507.3,2011-01-09,2012-09-30
IN,347,SGS-UKL1344260528.85,2011-01-11,2012-06-30
CN,483,SGS-UKL1347350706.77,2011-12-25,2012-08-24
CN,316,SGS-UKL1349177579.41,2011-01-09,2012-05-31
CN,3374,SGS-UKL1349267789.56,2011-01-09,2012-07-31
IN,115,SGS-UKL1349867953.32,2012-01-07,2012-09-30
CN,3039,TECO1344007365.73,2011-11-11,2012-07-25
CN,4237,TECO1345453237.03,2011-01-03,2012-07-14
CN,3824,TECO1345534408.39,2010-12-25,2012-07-27
CN,2307,TUEV-RHEIN1288668302.41,2010-01-05,2010-10-31
CN,5180,TUEV-RHEIN1347015482.51,2011-09-15,2012-08-24
IN,836,TUEV-RHEIN1349749915.97,2011-01-08,2012-08-31
ID,493,TUEV-SUED1303828948.45,2007-01-08,2010-12-31
CN,4235,TUEV-SUED1326296219.21,2011-01-26,2011-12-26
CY,4820,TUEV-SUED1331904297.75,2011-05-17,2011-12-31
CL,1229,TUEV-SUED1351241004.49,2012-01-07,2012-09-30
CN,1960,URSCert1347029828.16,2012-01-05,2012-08-31
CN,2744,URSCert1348807750.88,2012-01-06,2012-08-31
CN,1759,BVQI1344238689.44,2012-01-01,2012-07-31
CN,905,BVQI1348559272.58,2012-01-01,2012-09-15
CN,1282,CEC1350279329.04,2012-01-03,2012-08-31
BR,3454,ICONTEC1325179839.61,2011-01-02,2011-10-31
CN,2844,JCI1347418454.59,2011-01-08,2012-07-31
IN,1600,KBS_Cert1337862998.24,2009-01-12,2012-02-04
CN,4000,RWTUV1312880327.34,2011-01-01,2011-07-28
CN,3937,SGS-UKL1318924276.04,2011-01-20,2011-09-30
CN,2212,SGS-UKL1347377519.41,2011-01-06,2012-06-30
CN,3670,SGS-UKL1349691408.71,2012-04-29,2012-09-28
CN,5924,SGS-UKL1351866603.19,2012-01-04,2012-10-31
CN,1304,BVQI1335630205.73,2011-01-10,2012-01-31
MY,1107,DNV-CUK1317898450.86,2007-12-17,2011-08-31
BR,2486,DNV-CUK1350632504.28,2012-01-07,2012-09-30
CN,1729,ERM-CVS1346419503.58,2011-01-08,2012-05-31
CN,4297,RINA1345618608.13,2011-04-25,2012-07-31
AE,2686,RWTUV1323454382.35,2010-09-07,2011-08-07
CN,1859,BVQI1341403807.62,2010-12-28,2011-03-27
CN,1859,BVQI1341840618.28,2011-03-28,2011-06-27
CN,1859,BVQI1341840954.95,2011-06-28,2011-09-27
CN,1859,BVQI1341918493.82,2011-09-28,2011-12-27
CN,5284,China Quality1348905146.01,2012-03-15,2012-08-31
CN,2882,ERM-CVS1345219446.85,2011-12-30,2012-07-29
CO,1790,RWTUV1334490445.66,2011-01-09,2012-02-29
CN,232,SGS-UKL1351853283.08,2012-01-10,2012-10-31
CN,1194,SGS-UKL1352214284.08,2012-09-14,2012-10-31
CN,3549,TECO1315529371.04,2011-01-03,2011-08-27
CN,2093,BVQI1347603436.81,2012-01-01,2012-06-20
MX,1453,DNV-CUK1267632144.95,2009-01-06,2010-01-31
MX,1767,DNV-CUK1296034898.09,2009-01-12,2010-11-30
BR,1164,DNV-CUK1316684208.8,2010-01-04,2011-08-31
CN,1481,DNV-CUK1349695315.75,2012-01-07,2012-09-30
CN,2964,ERM-CVS1321437337.65,2010-09-11,2011-08-31
CN,2460,ERM-CVS1347290097.62,2011-03-26,2012-08-25
IN,264,KBS_Cert1310107760.94,2009-01-12,2010-10-16
CN,1896,RWTUV1349340420.86,2011-12-21,2012-06-30
CN,1896,RWTUV1350889796.54,2012-01-07,2012-09-30
IN,2937,SGS-UKL1325598608.89,2010-08-03,2011-10-31
GT,1834,SGS-UKL1325604465.51,2010-06-24,2011-11-30
CN,1510,SGS-UKL1340792382.27,2011-01-21,2012-05-15
CN,1510,SGS-UKL1348236591.71,2012-05-16,2012-08-15
ID,2130,SIRIM1331004726.34,2011-01-03,2012-01-31
CN,3273,TECO1346125508.79,2010-12-18,2012-05-21
CN,1263,BVQI1340287276.82,2009-05-27,2012-05-26
CN,2093,BVQI1341582588.91,2010-01-10,2011-12-31
CN,3743,BVQI1342160742.01,2011-01-08,2012-06-30
CN,4715,BVQI1342724531.53,2011-04-21,2012-04-30
CN,1818,BVQI1344322125.67,2012-01-01,2012-07-31
CN,2625,BVQI1348736358.85,2012-07-16,2012-09-15
CN,5275,BVQI1349669013.37,2011-11-14,2012-08-31
CN,2586,BVQI1350882873.78,2012-04-25,2012-09-24
CN,2088,BVQI1351490139.5,2012-09-25,2012-10-24
CN,2140,BVQI1352450648.81,2012-09-24,2012-10-31
CN,2204,CEC1346632621.1,2012-01-03,2012-07-31
CN,2149,CEC1346831549.33,2012-01-05,2012-08-31
CN,2955,CEC1347003400.27,2011-01-10,2012-08-31
CN,5404,CEC1350264132.57,2012-01-07,2012-09-30
CN,1978,China Quality1345793566.88,2011-05-21,2012-08-15
CN,3047,China Quality1349137317.79,2011-11-07,2012-09-30
ZA,545,DNV-CUK1272873375.94,2007-02-11,2010-02-28
IN,391,DNV-CUK1344251226.49,2011-01-04,2012-03-31
IN,792,DNV-CUK1344856146.41,2011-03-22,2012-01-07
CN,1124,DNV-CUK1346415958.07,2011-05-25,2012-05-24
AR,426,DNV-CUK1347362084.73,2012-01-01,2012-08-29
CN,5297,DNV-CUK1349079550.05,2012-02-27,2012-09-30
EG,490,DNV-CUK1350642504.78,2012-09-23,2012-08-10
CN,4853,DNV-CUK1351771141.65,2012-10-01,2012-03-10
CN,4146,ERM-CVS1341925025.68,2011-10-02,2012-06-30
CN,4933,ERM-CVS1344337106.49,2011-05-07,2012-07-31
CN,2786,Germanischer1337788354.87,2010-01-12,2012-03-31
EG,2742,Germanischer1344511192.31,2010-02-03,2011-08-31
CN,2741,JCI1343793341.82,2012-01-01,2012-06-30
TH,2110,JQA1343794087.81,2012-01-01,2012-07-05
IN,3712,KBS_Cert1335771192.86,2010-10-11,2011-12-31
CN,5217,LRQA Ltd1344422364.34,2011-09-22,2012-07-31
CN,3524,LRQA Ltd1349777575.62,2012-01-09,2012-09-30
CN,3597,RINA1341304309.22,2010-04-10,2012-05-25
MY,916,RWTUV1274087283.97,2008-01-12,2009-05-31
IN,1,RWTUV1349783920.45,2012-01-09,2012-09-30
CN,1074,SGS-UKL1317388674.75,2010-05-26,2011-10-08
CN,3008,SGS-UKL1321020755.09,2010-01-12,2010-12-31
CN,4172,SGS-UKL1332757476.44,2011-07-07,2011-12-31
CN,4180,SGS-UKL1332758580.94,2011-03-07,2011-12-31
CN,3934,SGS-UKL1343139976.4,2011-01-06,2012-05-31
CN,3894,SGS-UKL1343141280.34,2011-01-06,2012-05-31
CN,3857,SGS-UKL1343142790.08,2011-01-06,2012-05-31
CN,910,SGS-UKL1345211697.59,2011-01-03,2012-02-29
CN,2580,SGS-UKL1345621513.61,2012-01-06,2012-07-31
CN,3122,SGS-UKL1346846120.35,2011-01-25,2012-06-24
CN,2008,SGS-UKL1347017237.31,2012-01-28,2012-08-27
CN,4095,SGS-UKL1347445282.12,2012-01-03,2012-08-31
CN,884,SGS-UKL1347531905.41,2010-12-30,2011-12-29
CN,5252,SGS-UKL1348054870.83,2011-09-27,2012-08-31
CN,5269,SGS-UKL1348059846.55,2011-09-27,2012-08-31
CN,4699,SGS-UKL1348062414.73,2011-04-21,2012-08-31
CN,4734,SGS-UKL1349276728.25,2012-04-29,2012-09-28
CN,1194,SGS-UKL1349693251.19,2012-08-16,2012-09-13
CN,11,SGS-UKL1349879562.85,2012-01-09,2012-09-30
CN,4555,TECO1337146288.91,2011-04-18,2012-04-19
CN,1478,TECO1342325510.37,2011-06-26,2012-06-25
CN,1276,TECO1345461293.97,2011-03-19,2012-07-18
CN,4741,TECO1346046163.86,2011-10-17,2012-07-21
CN,3271,TECO1346046540.63,2011-01-07,2012-07-25
CN,2547,TECO1346391186.25,2011-09-22,2012-08-21
CN,1478,TECO1346984419.03,2012-06-26,2012-08-25
CN,2155,TECO1347187711.05,2012-02-26,2012-08-25
CN,2155,TECO1349165508.96,2012-08-26,2012-09-25
CN,1478,TECO1349619790.37,2012-08-26,2012-09-25
MX,3378,TUEV-RHEIN1316997108.21,2010-10-27,2011-06-30
CN,2307,TUEV-RHEIN1320313386.9,2010-01-11,2011-10-31
CN,2221,TUEV-RHEIN1321350930.39,2009-01-09,2010-12-31
ID,1899,TUEV-RHEIN1321498109.46,2011-01-01,2011-09-30
CN,2924,TUEV-RHEIN1346661169.72,2011-01-11,2012-08-31
CN,5059,TUEV-RHEIN1346812881.54,2011-11-08,2012-06-30
CN,3235,TUEV-RHEIN1348209027.44,2011-04-01,2011-12-25
CN,3236,TUEV-RHEIN1348209833.81,2011-04-01,2011-12-25
CN,3651,TUEV-RHEIN1350898127.84,2011-12-21,2012-08-20
CN,4803,TUEV-SUED1327502104.21,2011-05-17,2011-12-19
ZA,961,TUEV-SUED1337790564.79,2010-10-09,2011-07-31
CN,868,TUEV-SUED1338809844.04,2012-06-04,2012-05-31
CN,2142,URSCert1340972372.69,2011-01-06,2012-05-31
CN,4952,URSCert1348810283.28,2012-01-05,2012-09-25
CN,2071,URSCert1349273869.43,2011-09-21,2012-09-30
CN,4163,Applus1343126788.71,2011-11-02,2012-10-07
CN,1990,BVQI1336736461.47,2011-01-03,2012-02-29
CN,2442,BVQI1341583606.89,2010-04-23,2012-04-21
CN,3415,BVQI1350885232.78,2012-04-25,2012-09-24
CN,4116,CEC1346115378.78,2011-02-03,2012-07-31
CN,3081,CEPREI_Cert1346659475.2,2011-08-19,2012-08-18
VN,2636,DNV-CUK1338449691.91,2011-04-14,2012-04-20
CN,2703,DNV-CUK1346941694.81,2012-01-01,2012-08-31
CN,2450,DNV-CUK1352104093.35,2011-01-04,2012-09-20
CN,3512,ERM-CVS1331825113.33,2010-09-27,2012-01-29
CN,1657,ERM-CVS1340963686.1,2011-04-28,2012-06-27
CN,4681,JACO1336569448.65,2011-09-09,2012-03-31
CN,2359,JACO1349500874.8,2011-08-21,2012-09-20
KR,2366,Korean Standards Association1306399119.94,2010-01-01,2011-03-31
IN,3855,LRQA Ltd1328016803.27,2010-11-12,2011-12-31
CN,1744,RINA1349195250.86,2012-01-05,2012-09-22
CN,4522,RWTUV1347037089.01,2011-01-05,2012-07-31
CN,2133,RWTUV1347258112.85,2011-01-06,2012-08-31
CN,2551,RWTUV1351575333.93,2012-09-28,2012-10-27
ID,2633,SIRIM1319779886.86,2011-01-03,2011-09-30
MX,151,TUEV-RHEIN1319006151.99,2011-08-31,2011-09-29
CN,868,TUEV-SUED1334049957.09,2012-01-01,2012-05-04
CN,2880,BVQI1352174459.44,2012-07-26,2012-10-25
CN,4909,CEC1345782257.14,2011-07-14,2012-07-31
CN,2762,China Quality1346645742.5,2011-07-29,2012-08-28
IN,3880,DNV-CUK1345446268.08,2011-04-03,2012-03-31
CN,5063,DNV-CUK1346843440.35,2011-04-08,2012-06-30
CN,2805,DNV-CUK1351684822.54,2012-08-29,2012-10-29
CN,1368,ERM-CVS1334264756.14,2010-04-19,2011-12-31
CN,4849,Germanischer1342772040.14,2011-06-06,2012-06-30
TH,3483,LRQA Ltd1334587698.5,2011-01-11,2012-03-31
IN,4759,LRQA Ltd1346768720.26,2011-01-11,2012-07-31
CR,1405,RWTUV1342700839.89,2011-01-07,2012-06-30
IN,826,SGS-UKL1335273423.85,2010-01-06,2012-02-29
IN,1514,SGS-UKL1335535565.39,2010-09-18,2011-05-31
CY,2329,TUEV-RHEIN1312774319.24,2010-01-01,2011-05-31
CN,2924,TUEV-RHEIN1320317799.44,2010-01-11,2011-10-31
CN,2311,TUEV-RHEIN1346665429.11,2011-01-11,2012-08-31
CN,2307,TUEV-RHEIN1346665803.0,2011-01-11,2012-08-31
KR,99,TUEV-SUED1349430647.97,2012-01-09,2012-09-30
CN,4168,Applus1342170542.29,2011-01-05,2012-05-31
CN,2436,BVQI1341709667.17,2010-04-22,2012-04-21
CN,2167,BVQI1346406485.08,2011-07-26,2012-08-15
KR,765,DNV-CUK1350374536.87,2012-09-21,2012-10-14
CN,2456,DNV-CUK1351079419.58,2010-07-25,2012-09-19
CN,4416,ERM-CVS1344337215.13,2011-02-16,2012-07-31
CN,2523,Germanischer1335348642.1,2011-01-03,2012-03-31
CN,4503,Germanischer1346229354.54,2011-01-07,2012-07-31
CL,822,Germanischer1347886109.23,2012-01-06,2012-08-31
BR,3456,ICONTEC1325180462.93,2011-01-02,2011-10-31
CO,275,ICONTEC1335825292.93,2010-01-08,2011-07-31
IN,309,KBS_Cert1343971833.66,2011-02-10,2012-06-25
CN,4292,RINA1349196213.06,2012-01-07,2012-09-30
CN,1947,RWTUV1346750665.71,2012-01-07,2012-08-31
CN,4068,RWTUV1346821481.49,2012-03-26,2012-08-25
CN,2091,RWTUV1348032872.71,2011-01-10,2012-06-30
CN,3199,RWTUV1349862827.65,2011-01-08,2012-07-31
CN,1947,RWTUV1351859405.84,2012-01-09,2012-10-31
CN,4734,SGS-UKL1337267671.23,2011-10-30,2012-04-28
CN,1557,SGS-UKL1349788460.96,2012-01-03,2012-07-31
CN,1446,SGS-UKL1349875938.71,2012-01-01,2012-09-30
CN,193,SGS-UKL1350402538.22,2012-01-09,2012-09-30
CN,1397,TUEV-SUED1314980005.68,2008-12-26,2009-12-25
CN,4842,CEC1345782103.73,2011-01-06,2012-07-31
TH,1558,DNV-CUK1304432227.27,2008-03-24,2011-03-31
CN,5263,PJR CDM1350389631.63,2012-01-01,2012-09-30
CN,1429,RINA1349196877.15,2012-01-03,2012-09-30
CN,4609,RINA1350643823.01,2011-08-26,2012-07-25
CN,574,RWTUV1330537586.78,2011-01-01,2011-12-31
CN,1938,RWTUV1351496566.96,2012-01-01,2012-09-30
CN,906,SGS-UKL1318262758.03,2010-01-03,2011-04-30
CN,3659,BVQI1338793680.09,2011-03-06,2012-02-06
IN,5928,BVQI1343394511.77,2012-03-23,2012-06-30
CN,2931,ERM-CVS1345552356.87,2011-08-30,2012-07-29
CN,2932,ERM-CVS1345553238.81,2011-08-30,2012-07-29
CN,1726,ERM-CVS1346418984.94,2011-01-08,2012-05-31
CN,3768,RWTUV1346313010.49,2011-12-28,2012-08-27
IN,124,SGS-UKL1288882554.45,2008-01-01,2010-06-30
KR,3,SGS-UKL1347609235.48,2012-01-01,2012-06-30
CN,1451,SGS-UKL1349187587.64,2012-07-25,2012-09-24
IN,838,SGS-UKL1349450734.25,2012-01-09,2012-09-30
CN,767,SGS-UKL1351766193.95,2012-09-26,2012-10-25
CN,1880,TUEV-RHEIN1341990237.12,2011-01-01,2012-06-30
UZ,2243,TUEV-SUED1317207749.21,2011-08-01,2011-05-18
AR,807,TUEV-SUED1331021361.08,2011-01-08,2011-10-14
AR,807,TUEV-SUED1331028035.23,2011-10-15,2012-01-31
UZ,2243,TUEV-SUED1334924113.22,2011-05-19,2011-03-10
CL,1265,AENOR1255069004.93,2008-09-07,2009-08-07
MY,3686,RWTUV1311151467.03,2010-08-10,2011-06-30
CN,1083,SGS-UKL1350555762.4,2012-01-09,2012-10-15
CN,1238,SGS-UKL1351865036.58,2012-01-09,2012-10-31
KR,3,SGS-UKL1347550869.19,2011-11-25,2011-12-31
KR,4665,BVQI1325748826.13,2011-09-06,2011-08-31
IN,2550,DNV-CUK1272280578.15,2009-10-29,2010-01-15
IN,2943,DNV-CUK1321280559.71,2011-05-27,2011-09-20
UZ,2310,TUEV-SUED1317201077.23,2010-11-25,2011-07-18
CN,2409,ERM-CVS1346860549.47,2011-01-05,2012-08-31
CN,2590,TECO1350874169.66,2012-07-26,2012-09-25
CN,2872,JQA1346806903.03,2011-04-21,2012-08-21
CN,2580,SGS-UKL1349785424.91,2012-01-09,2012-09-30
CN,4844,BVQI1343127918.9,2011-05-27,2012-01-07
CN,4845,ERM-CVS1344351729.7,2011-01-07,2012-07-31
CN,1675,BVQI1340296411.72,2011-06-16,2012-06-15
CN,1857,SGS-UKL1346779163.81,2012-01-04,2012-07-31
CN,1128,BVQI1348559843.49,2012-01-03,2012-09-15
CN,5233,China Quality1348730176.64,2012-01-04,2012-08-31
NG,2029,ERM-CVS1347016920.27,2012-01-05,2012-08-31
TH,3462,LRQA Ltd1334587525.16,2011-01-11,2012-03-31
CN,4295,SGS-UKL1329823069.8,2011-10-15,2011-12-31
CN,1855,SGS-UKL1347442178.35,2012-01-03,2012-08-31
CN,3526,TUEV-RHEIN1339747069.2,2011-05-21,2012-05-20
EG,508,TUEV-SUED1305806453.14,2010-01-02,2011-04-30
EG,508,TUEV-SUED1315913925.46,2011-01-05,2011-12-09
NI,3970,TUEV-SUED1330077639.16,2003-04-07,2012-06-01
CN,3056,DNV-CUK1341919665.75,2011-06-01,2011-12-31
KR,788,TUEV-SUED1240478337.96,2007-01-11,2008-12-31
CN,1817,TUEV-SUED1347276948.67,2012-01-07,2012-08-31
DO,2595,CRA1321019623.83,2011-06-20,2011-09-11
CN,2916,China Quality1350524539.38,2012-03-30,2012-09-28
IL,2414,DNV-CUK1349333036.75,2012-01-07,2012-09-30
